Date,Month,Year,Quarter,Day_of_Week,Product,Units_Produced,Units_Sold,Wastage_Units,Raw_Material_Cost_INR,Revenue_INR,Profit_INR,Profit_Margin_Pct
2022-01-01,January,2022,Q1,Saturday,Cookies,189,157,27,1547.08,2355,807.92,34.31
2022-01-01,January,2022,Q1,Saturday,Bread,132,124,8,1529.51,2728,1198.49,43.93
2022-01-01,January,2022,Q1,Saturday,Rusk,147,127,20,890.92,1524,633.08,41.54
2022-01-03,January,2022,Q1,Monday,Cookies,168,155,8,1407.16,2325,917.84,39.48
2022-01-03,January,2022,Q1,Monday,Bread,115,105,8,1336.09,2310,973.91,42.16
2022-01-03,January,2022,Q1,Monday,Rusk,126,115,10,757.87,1380,622.13,45.08
2022-01-04,January,2022,Q1,Tuesday,Cookies,159,146,12,1286.23,2190,903.77,41.27
2022-01-04,January,2022,Q1,Tuesday,Bread,100,92,7,1183.96,2024,840.04,41.5
2022-01-04,January,2022,Q1,Tuesday,Rusk,133,111,17,774.03,1332,557.97,41.89
2022-01-05,January,2022,Q1,Wednesday,Cookies,162,145,17,1237.22,2175,937.78,43.12
2022-01-05,January,2022,Q1,Wednesday,Bread,110,98,7,1262.59,2156,893.41,41.44
2022-01-05,January,2022,Q1,Wednesday,Rusk,147,121,21,909.2,1452,542.8,37.38
2022-01-06,January,2022,Q1,Thursday,Cookies,155,142,9,1262.84,2130,867.16,40.71
2022-01-06,January,2022,Q1,Thursday,Bread,106,100,6,1271.39,2200,928.61,42.21
2022-01-06,January,2022,Q1,Thursday,Rusk,122,101,17,714.34,1212,497.66,41.06
2022-01-07,January,2022,Q1,Friday,Cookies,200,181,16,1603.21,2715,1111.79,40.95
2022-01-07,January,2022,Q1,Friday,Bread,130,122,8,1633.26,2684,1050.74,39.15
2022-01-07,January,2022,Q1,Friday,Rusk,170,146,24,1060.27,1752,691.73,39.48
2022-01-08,January,2022,Q1,Saturday,Cookies,198,170,28,1518.82,2550,1031.18,40.44
2022-01-08,January,2022,Q1,Saturday,Bread,121,114,6,1426.64,2508,1081.36,43.12
2022-01-08,January,2022,Q1,Saturday,Rusk,158,145,12,979.16,1740,760.84,43.73
2022-01-10,January,2022,Q1,Monday,Cookies,157,141,12,1261.36,2115,853.64,40.36
2022-01-10,January,2022,Q1,Monday,Bread,100,83,13,1148.95,1826,677.05,37.08
2022-01-10,January,2022,Q1,Monday,Rusk,148,130,18,861.25,1560,698.75,44.79
2022-01-11,January,2022,Q1,Tuesday,Cookies,145,122,19,1184.0,1830,646.0,35.3
2022-01-11,January,2022,Q1,Tuesday,Bread,112,97,14,1286.75,2134,847.25,39.7
2022-01-11,January,2022,Q1,Tuesday,Rusk,131,118,8,814.54,1416,601.46,42.48
2022-01-12,January,2022,Q1,Wednesday,Cookies,165,147,13,1262.39,2205,942.61,42.75
2022-01-12,January,2022,Q1,Wednesday,Bread,103,90,8,1264.38,1980,715.62,36.14
2022-01-12,January,2022,Q1,Wednesday,Rusk,138,115,19,825.7,1380,554.3,40.17
2022-01-13,January,2022,Q1,Thursday,Cookies,149,128,18,1223.09,1920,696.91,36.3
2022-01-13,January,2022,Q1,Thursday,Bread,109,95,13,1307.19,2090,782.81,37.46
2022-01-13,January,2022,Q1,Thursday,Rusk,135,120,12,771.56,1440,668.44,46.42
2022-01-14,January,2022,Q1,Friday,Cookies,179,166,9,1451.53,2490,1038.47,41.71
